bank_name,reference_date,status,classification,match_count,source_type,source_url,pdf_path,text_path,note
BANCA MEDIOLANUM S.P.A.,2025-06-30,ok,explicit_on_top,2,direct_pdf,https://www.bancamediolanum.it/static-assets/documenti/file/it/2025/12/23/Pillar_III_30giugno2025.pdf,cbr/raw/banca-mediolanum-s-p-a.pdf,cbr/text/banca-mediolanum-s-p-a.txt,
BANCA POPOLARE DI SONDRIO SOCIETA' PER AZIONI,2025-06-30,ok,explicit_on_top,3,discovered_from_landing_page,https://istituzionale.popso.it/sites/default/files/documents/Banca%20Popolare%20di%20Sondrio%20Pillar%20III%2030%2006%202025.pdf,cbr/raw/banca-popolare-di-sondrio-societa-per-azioni.pdf,cbr/text/banca-popolare-di-sondrio-societa-per-azioni.txt,
BANCO BPM SOCIETA' PER AZIONI,2025-06-30,ok,explicit_on_top,3,direct_pdf,https://gruppo.bancobpm.it/media/dlm_uploads/P3-Giugno-2025_Documento.pdf,cbr/raw/banco-bpm-societa-per-azioni.pdf,cbr/text/banco-bpm-societa-per-azioni.txt,
BPER Banca S.p.A.,2025-06-30,ok,no_match,0,discovered_from_landing_page,https://group.bper.it/documents/133577364/2796734466/Informativa+al+Pubblico+al+30+giugno+2025.pdf/4ca09233-b4bb-f4d2-8960-945f2b45fe7d?version=1.0&t=1759250224385,cbr/raw/bper-banca-s-p-a.pdf,cbr/text/bper-banca-s-p-a.txt,Included manually for CBR research because the entity is not present in the workbook export used for the dashboard.
Banca Monte dei Paschi di Siena S.p.A.,2025-06-30,ok,no_match,0,direct_pdf,https://www.gruppomps.it/static/upload/inf/informativa-al-pubblico---giugno-2025.pdf,cbr/raw/banca-monte-dei-paschi-di-siena-s-p-a.pdf,cbr/text/banca-monte-dei-paschi-di-siena-s-p-a.txt,
CASSA CENTRALE BANCA - CREDITO COOPERATIVO ITALIANOSOCIETA' PER AZIONI (IN SIGLA CASSA CENTRALE BANCA),2025-06-30,ok,explicit_on_top,2,discovered_from_landing_page,https://www.cassacentrale.it/sites/default/files/documents_attachments/GBC%20-%20Informativa%20al%20Pubblico%20al%2030.06.2025_signed_signed.pdf,cbr/raw/cassa-centrale-banca-credito-cooperativo-italianosocieta-per-azioni-in-sigla-cassa-centrale-banca.pdf,cbr/text/cassa-centrale-banca-credito-cooperativo-italianosocieta-per-azioni-in-sigla-cassa-centrale-banca.txt,
CREDITO EMILIANO HOLDING SOCIETA' PER AZIONI,2025-06-30,ok,explicit_on_top,2,direct_pdf,https://cdn.financialreports.eu/financialreports/media/filings/4312/2025/RNS/4312_rns_2025-09-16_b2dc6af3-f551-41e0-abc0-9f6b783b415c.pdf,cbr/raw/credito-emiliano-holding-societa-per-azioni.pdf,cbr/text/credito-emiliano-holding-societa-per-azioni.txt,Using a FinancialReports mirror because the official Credem investor page does not expose a stable PDF link in static HTML.
ICCREA BANCA S.P.A. - ISTITUTO CENTRALE DEL CREDITO COOPERATIVO (IN FORMA ABBREVIATA: ICCREA BANCA S.P.A.),2025-06-30,ok,explicit_included,1,discovered_from_landing_page,https://www.gruppobcciccrea.it/Altri_Documeni_Pillar/Informativa%20al%20pubblico%20-%20Pillar%203%2030.06.2025_05112025.pdf,cbr/raw/iccrea-banca-s-p-a-istituto-centrale-del-credito-cooperativo-in-forma-abbreviata-iccrea-banca-s-p-a.pdf,cbr/text/iccrea-banca-s-p-a-istituto-centrale-del-credito-cooperativo-in-forma-abbreviata-iccrea-banca-s-p-a.txt,
Intesa Sanpaolo S.p.A.,2025-06-30,ok,explicit_on_top,7,direct_pdf,https://group.intesasanpaolo.com/content/dam/portalgroup/repository-documenti/investor-relations/Contenuti/RISORSE/Documenti%20PDF/governance/Pillar3_30062025.pdf,cbr/raw/intesa-sanpaolo-s-p-a.pdf,cbr/text/intesa-sanpaolo-s-p-a.txt,Included manually for CBR research because the entity is not present in the workbook export used for the dashboard.
MEDIOBANCA PREMIER S.P.A.,2025-06-30,ok,explicit_included,1,direct_pdf,https://www.mediobanca.com/static/upload_new/doc/documento-pillar-ita-30-06-2025.pdf,cbr/raw/mediobanca-premier-s-p-a.pdf,cbr/text/mediobanca-premier-s-p-a.txt,Using the Mediobanca Group Pillar 3 document as fallback because no standalone Mediobanca Premier Pillar 3 source was pre-mapped.
Mediobanca - Banca di Credito Finanziario S.p.A.,2025-06-30,ok,explicit_included,1,direct_pdf,https://www.mediobanca.com/static/upload_new/doc/documento-pillar-ita-30-06-2025.pdf,cbr/raw/mediobanca-banca-di-credito-finanziario-s-p-a.pdf,cbr/text/mediobanca-banca-di-credito-finanziario-s-p-a.txt,
UniCredit S.p.A.,2025-06-30,ok,no_match,0,direct_pdf,https://www.unicreditgroup.eu/content/dam/unicreditgroup-eu/documents/en/investors/third-pillar-basel/2025/UniCredit-Group-Disclosure-Pillar-III-as-at-30-June-2025.pdf,cbr/raw/unicredit-s-p-a.pdf,cbr/text/unicredit-s-p-a.txt,Included manually for CBR research because the entity is not present in the workbook export used for the dashboard.
